Rank,Name,Irish name,Translation,Area/Range,Province,County,Height,Prominace,Rating[n],Logitude,Latitude,Importance
1,Carrauntoohil,Corr�n Tuathail,Tuathal's sickle,MacGillycuddy's Reeks,Munster,Kerry,"1038.6m",1038.6,82%,51.999445,-9.742693,Highest in Munster and the Island of Ireland
2,Knocknapeasta,Cnoc na P�iste,hill of the serpent,MacGillycuddy's Reeks,Munster,Kerry,988m,253m,94%,51.997934,-9.695595,
3,Brandon,Cnoc Br�anainn,Brendan's hill,Brandon Group,Munster,Kerry,952m,934m,86%,52.235113,-10.254336,
4,Lugnaquilla,Log na Coille,hollow of the wood,Wicklow Mountains,Leinster,Wicklow,925m,905m,74%,52.96714,-6.464618,Highest in Leinster
5,Galtymore,Cnoc M�r na nGaibhlte,big hill of the Galtees,Galty Mountains,Munster,Limerick/Tipperary,918m,898m,80%,52.366,-8.179,
6,Baurtregaum,Barr Tr� gCom,top of the three hollows,Slieve Mish,Munster,Kerry,851m,643m,85%,52.207048,-9.829476,
7,Slieve Donard*,Sliabh D�nairt,peak (St.) Domhangart,Mourne Mountains,Ulster,Down,850m,822m,77%,54.180238,-5.920898,Highest in Ulster
8,Mullaghcleevaun,Mullach Cliabh�in,summit of the cradle,Wicklow Mountains,Leinster,Wicklow,849m,374m,74%,53.103626,-6.406724,
9,Brandon Peak,Barr an Gh�ar�in,top of the fang,Brandon Group,Munster,Kerry,840m,190m,92%,52.235113,-10.254336,
10,Mangerton,An Mhangarta,long?haired mountain,Mangerton Mountains,Munster,Kerry,838m,583m,79%,51.970308,-9.484395,
11,Caherconree,Cathair Conraoi,C� Ro�'s fort,Slieve Mish,Munster,Kerry,835m,129m,88%,52.203029,-9.853725,
12,Purple Mountain,An Sliabh Corcra,purple mountain,Purple Mountain,Munster,Kerry,832m,597m,90%,52.007906,-9.62251,
13,Beenoskee,Binn os Gaoith,peak above the wind,Central Dingle,Munster,Kerry,826m,491m,91%,52.213863,-10.077388,
14,Lyracappul,Ladhar an Chapaill,fork of the horse,Galty Mountains,Munster,Limerick,825m,100m,90%,52.213863,-10.077388,
15,Tonelagee,T�in le Gaoith,back to the wind,Wicklow Mountains,Leinster,Wicklow,817m,202m,80%,52.360427,-8.227342,
16,Mweelrea,Maol R�idh,bald smooth top,Mweelrea Mountains,Connacht,Mayo,814m,779m,93%,53.63724,-9.830358,Highest in Connacht
17,Nephin,N�ifinn,Fionn's paradise,North Mayo,Connacht,Mayo,806m,778m,82%,54.012,-9.368,
18,Ben Lugmore,Binn Log Mh�r,peak of the big hollow,Mweelrea Mountains,Connacht,Mayo,803m,158m,95%,53.642778,-9.7975,
19,Greenane,An Grian�n,sunny spot,Galty Mountains,Munster,Tipperary,801m,157m,73%,52.366,-8.179,
20,Mount Leinster,Stua Laighean,warrior of Leinster,Blackstairs Mountains,Leinster,Carlow/Wexford,794m,706m,75%,52.617683,-6.77904,
21,Knockmealdown,Cnoc Mhaoldomhnaigh,hill of Maoldomhnach,Knockmealdowns,Munster,Waterford,792m,683m,79%,52.228056,-7.915833,
22,Fauscoum,F�schom,empty hollow,Comeragh Mountains,Munster,Waterford,792m,626m,83%,52.242222,-7.538056,
23,Stumpa D�loigh,Stumpa D�loigh,stump of the black lake,Dunkerron Mountains,Munster,Kerry,784m,499m,94%,51.95375,-9.76525,
24,Temple Hill,Cnoc an Teampaill,hill of the church,Galty Mountains,Munster,Limerick,783m,188m,87%,52.348,-8.244,
25,Mullaghanattin,Mullach an Aitinn,summit of the gorse,Dunkerron Mountains,Munster,Kerry,773m,528m,93%,51.933,-9.834,
26,Barrclashcame,Barr Chlais C�im,top of Clais C�im,Sheeffry Hills,Connacht,Mayo,772m,707m,89%,53.662731,-9.741944,
27,Coomacarrea,Com an Charria,hollow of the stag,Glenbeigh Horseshoe,Munster,Kerry,772m,457m,91%,51.978056,-10.021667,
28,Slieve Commedagh*,Sliabh Coimh�ideach,guarding mountain,Mourne Mountains,Ulster,Down,767m,180m,82%,54.188855,-5.938667,
29,Croagh Patrick,Cruach Ph�draig,(St.) Patrick's stack,Croagh Patrick,Connacht,Mayo,764m,639m,69%,53.7595,-9.6584,
30,Masatiompan,M�s an Tiomp�in,rump of the drum,Brandon Group,Munster,Kerry,762m,109m,92%,52.235113,-10.254336,
31,Camenabologue,C�im na mBul�g,pass of the bullocks,Wicklow Mountains,Leinster,Wicklow,758m,133m,71%,53.005278,-6.476667,
32,Kippure,Cipi�r,(unknown),Wicklow Mountains,Leinster,Wicklow,757m,262m,57%,53.178,-6.332,
33,Knockanaffrin,Cnoc an Aifrinn,hill of the mass,Comeragh Mountains,Munster,Waterford,755m,289m,81%,52.289167,-7.582222,
34,Beann,An Bheann Bh�n,white peak,Dunkerron Mountains,Munster,Kerry,752m,166m,87%,51.972,-9.744,
35,Errigal,An Earagail,(possibly) oratory,Derryveagh Mountains,Ulster,Donegal,751m,688m,79%,55.033,-8.112,
36,Slieve Binnian*,Sliabh Binne�in,mountain of small peak,Mourne Mountains,Ulster,Down,746m,282m,85%,54.14272,-5.98083,
